GASVISION_FILEVERSION;4;7.0.1;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEforMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEforMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Online;1;11.07.2017;11:48:37;13.07.2017;20:52:36;Polytron;7000;ARYE0794;8.0;;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:20:35;38,06;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:21:35;35,96;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:22:35;33,99;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:23:35;30,46;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:24:35;35;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:25:35;40,44;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:26:35;41,01;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:27:35;39,71;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:28:35;37,92;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:29:35;35,8;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:30:35;33,92;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:31:35;31,39;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:32:35;31,53;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:33:35;38,29;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:34:35;39,9;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:35:35;39,55;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:36:35;38,23;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:37:35;36,03;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:38:35;34,51;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:39:35;31,75;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:40:35;33,36;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:41:35;39,55;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:42:35;40,41;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:43:35;39,82;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:44:35;38,53;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:45:35;36,45;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:46:35;34,64;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:47:35;33,35;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:48:35;30,53;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:49:35;35,78;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:50:35;39,3;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:51:35;39,51;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:52:35;38,49;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:53:35;36,73;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:54:35;34,96;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:55:35;33,24;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:56:35;30,8;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:57:35;30,36;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:58:35;38;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;14:59:35;39;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:00:35;39;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:01:35;37,79;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:02:35;35,58;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:03:35;34,4;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:04:35;32,85;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:05:35;29,54;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:06:35;37,21;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:07:35;48,26;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:08:35;55,11;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:09:35;58,53;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:10:35;62,28;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:11:35;67,93;;;;;;;;;;;;;;;;;;
