GASVISION_FILEVERSION;4;apr.50;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEFORMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEFORMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Avg.;60;03.10.2018;10:53:24;03.10.2018;18:56:51;Polytron;7000;ARBC0143;8.0;0;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:49:24;59,48;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:50:24;57,78;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:51:24;55,7;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:52:24;53,7;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:53:24;51,8;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:54:24;50,2;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:55:24;48,61;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:56:24;47,25;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:57:24;45,92;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:58:24;44,6;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:59:24;43,43;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:00:24;42,43;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:01:24;41,44;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:02:24;40,57;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:03:24;39,8;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:04:24;38,99;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:05:24;38,2;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:06:24;37,65;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:07:24;36,88;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:08:24;36,23;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:09:24;35,63;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:10:24;35,1;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:11:24;34,53;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:12:24;33,94;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:13:24;33,49;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:14:24;33;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:15:24;32,56;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:16:24;32,12;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:17:24;31,66;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:18:24;31,35;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:19:24;30,95;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:20:24;30,5;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:21:24;30,09;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:22:24;29,71;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:23:24;29,41;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:24:24;29;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:25:24;28,6;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:26:24;28,22;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:27:24;28;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:28:24;27,69;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:29:24;27,47;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:30:24;27;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:31:24;26,76;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:32:24;26,5;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:33:24;26,03;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:34:24;25,95;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:35:24;26,41;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:36:24;27,57;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:37:24;28,3;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:38:24;29,7;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:39:24;30,35;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:40:24;31,11;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:41:24;31,56;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:42:24;32,36;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:43:24;33,77;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:44:24;37,97;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:45:24;43,51;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:46:24;49,27;;;;;;;;;;;;;;;;;;
